zi,N
簇,7
疟,2
蟲,80
綱,116
锥,21
潛,46
艇,152
叉,43
潜,89
杉,43
磯,11
删,10
订,67
矶,16
浅,23
筒,26
蛙,4
携,29
舶,17
艉,14
艏,19
侦,41
测,193
钢,59
拖,28
曳,4
堆,56
喷,80
遥,16
豹,31
剪,20
窃,16
纤,12
缆,8
捷,100
沪,71
沧,9
彝,37
芭,7
蕉,5
苴,3
粤,35
坡,120
汕,43
佬,13
咱,9
儂,3
廢,156
頒,89
廈,67
腔,161
埔,164
淵,22
戲,163
裙,11
揶,3
揄,3
賃,3
婦,53
懂,22
鼎,61
塘,68
屿,30
屏,76
瑞,356
麂,23
胶,56
矾,1
墩,15
寮,9
霞,30
莒,15
亭,63
壮,85
渊,9
昔,27
琼,44
莱,220
甸,57
挝,6
桃,44
郊,70
栗,16
睐,4
综,60
晓,52
撑,7
童,523
乏,99
颓,3
楫,4
坵,6
莆,84
擠,21
輩,24
輕,128
夾,12
慣,55
溝,34
齡,49
插,50
摻,9
誌,74
貼,16
歧,89
柔,85
槟,5
霹,6
靂,4
爪,26
哇,28
泗,32
夹,23
呂,22
併,136
峨,12
辦,492
塾,19
扭,29
頹,2
嘲,14
羞,7
衷,25
儘,85
課,176
訂,130
須,272
侗,11
伴,79
葡,106
萄,90
阂,1
礙,31
韵,91
柬,28
寨,43
戏,250
荔,23
镜,50
鼻,43
瓊,22
浊,8
覃,4
宕,4
梗,19
喉,30
拋,28
燈,37
膋,3
刀,65
丌,1
亓,1
薦,21
駿,8
衫,4
褲,7
鴨,11
鬧,9
残,67
妻,129
叨,1
哪,35
循,88
僑,23
叢,12
碼,101
車,526
淆,27
黏,11
厥,66
缀,11
隐,69
涵,54
搭,69
冗,8
你,181
荀,40
勗,31
勖,2
潁,2
爽,23
肸,1
舅,6
慧,57
掾,3
弔,6
唁,1
隻,68
驃,4
祠,23
賜,23
簿,5
奕,89
瓘,4
裴,8
祜,3
禪,32
攏,7
馮,73
紞,5
珧,1
愷,16
庾,14
嶠,4
禿,3
髮,43
擾,47
艷,5
醜,23
陋,5
齒,47
譏,4
佞,2
媚,5
繇,3
濬,8
絹,3
項,290
讚,30
戟,4
擲,7
孕,26
奪,141
審,175
賞,46
彧,3
攸,4
帛,7
薪,52
冻,9
劳,141
豪,153
贸,150
氯,33
碱,26
塑,81
炸,196
嫌,55
违,53
审,177
诉,77
额,84
翰,169
妇,58
惹,6
烦,18
摇,18
讯,54
祸,18
赎,5
铭,34
觉,69
莎,43
餐,92
廳,131
烹,20
煮,18
攤,11
販,24
椅,9
閒,8
麥,109
銷,100
訟,19
肥,90
胖,13
咎,7
飲,61
賣,54
聊,7
栽,16
買,78
麵,16
橄,14
欖,11
丸,32
薯,14
棠,30
倫,211
闡,8
麦,406
紐,137
臟,35
脏,25
摧,51
毀,81
叠,20
掠,56
盾,93
繆,6
棋,13
芒,24
戎,11
娱,26
蚕,6
俠,12
侠,10
蛮,14
丟,15
雾,8
蹊,3
翹,1
丢,7
蠻,11
窟,16
睹,15
凄,3
幕,165
抢,27
阪,20
狠,8
抉,5
竞,76
衙,37
龢,2
汪,84
津,122
楼,194
龚,12
润,32
谌,1
贻,5
琴,45
阮,66
昊,2
辉,38
曙,9
貨,129
軌,163
臘,75
涎,3
皈,8
匠,30
栩,6
虔,15
幣,135
稣,37
雕,75
餅,12
奢,25
愈,54
押,93
敕,15
煽,16
捐,41
钱,78
粮,49
榄,10
牧,93
坊,61
畜,34
龐,48
瘟,8
稅,57
繳,28
焚,33
燬,4
矛,78
緒,64
繪,21
諭,33
詠,14
遏,15
膨,26
胀,18
痕,26
帜,101
剥,29
损,107
矮,42
丕,23
沦,17
奴,123
拢,4
僚,37
翻,184
挟,7
拯,18
哨,10
胁,49
珍,110
刷,50
脑,154
剖,21
腺,23
浏,12
览,47
矢,15
檔,34
瀏,7
罔,4
螢,28
嵌,24
援,316
倡,65
档,33
骤,12
碎,61
甾,24
醇,187
酰,10
酶,51
戊,17
烷,33
氢,51
膽,34
椎,20
萜,2
鯊,2
烯,38
碳,109
烴,5
鏈,25
睾,6
酮,37
酸,223
羧,2
羥,7
胚,33
胎,70
睪,3
唑,1
腸,53
驟,19
抑,41
腎,5
萎,11
肌,46
腱,1
韌,6
尿,24
睡,25
喘,9
癇,1
遲,25
畸,11
囑,10
添,41
諾,152
獎,177
肖,45
酯,27
腫,7
胆,21
医,223
谢,107
戈,736
颜,135
绿,104
褐,7
函,183
傅,37
杆,69
盲,23
滤,2
拍,138
碍,38
剔,4
梵,32
偿,32
哺,18
乳,48
蜜,15
扫,30
棕,30
饱,8
雀,39
蝴,5
蝶,12
翅,5
膀,5
殼,61
紋,26
漆,17
荧,4
钝,2
螈,12
鈍,12
蠑,1
掛,33
喬,46
牠,35
鰓,3
鳃,3
耙,1
鰭,11
肢,25
啜,3
棲,43
瀕,11
邕,3
匾,5
衹,1
鳴,12
証,12
飾,50
紳,8
償,19
債,19
寰,8
丈,39
叔,44
費,241
輯,72
翌,43
碩,41
輝,77
迴,26
嘗,26
憑,54
魅,12
崙,15
紛,85
轟,78
癱,4
瘓,4
腿,22
慨,11
珀,24
慰,28
仕,31
緋,2
擺,32
垮,12
紜,4
謬,8
煌,28
姿,31
謔,1
吧,24
弦,36
揮,183
逍,4
旌,4
璋,31
杭,57
弋,8
芳,133
畈,2
萍,16
胜,195
渤,29
鞍,8
勋,110
炮,357
垭,7
攀,16
枝,49
箐,1
硕,36
寝,12
玩,101
珠,146
峰,148
梅,547
砖,27
谒,7
弯,9
棂,6
枋,6
楷,20
缮,11
棣,14
赑,1
屃,1
獬,5
豸,2
驼,4
麒,10
兽,17
垣,16
庑,3
拱,12
券,37
掖,13
祾,1
豎,12
驮,3
龟,15
趺,6
跪,6
笔,38
芹,11
扬,63
胤,17
墁,1
垩,3
楠,28
绪,57
掘,34
涧,5
垒,18
斜,52
隧,37
哑,1
砌,15
挡,12
礓,1
磋,9
璃,55
凿,16
填,62
侧,133
樵,3
桐,28
株,21
挂,33
鹿,63
佥,3
牢,50
膳,7
牺,13
犊,1
猪,6
兔,9
蜡,8
烛,5
椒,15
笋,7
糖,103
醋,10
荐,19
粳,3
糙,4
芝,50
盐,67
斤,38
净,65
迟,22
帷,4
帐,8
馔,1
窑,11
烧,55
枷,3
蒋,121
璟,3
贱,4
卖,38
坟,7
讥,1
铎,14
亩,28
纷,61
勘,20
拮,3
栅,8
栏,17
蚀,5
剂,58
溢,8
殡,1
迷,73
惑,24
嶺,169
峪,8
瀋,16
暑,14
庐,8
堰,6
皖,21
碉,5
猫,8
臥,6
澂,2
眉,16
芬,156
挪,71
億,178
塊,90
蓋,111
猜,30
庫,192
禺,45
逾,22
辆,71
莽,23
猛,72
獸,38
敞,29
鹦,5
鹉,2
鳄,2
欣,40
漯,2
票,340
窗,35
兖,6
凉,56
荆,22
徭,4
滞,6
烽,2
阀,13
躲,29
巾,17
侨,43
聪,13
匿,13
焉,17
潼,19
夔,13
鼠,31
屠,164
糧,60
摊,5
瑗,3
珲,5
澎,50
蹄,15
刍,2
遼,33
稿,69
銘,13
銜,26
颗,45
瀰,2
顆,116
盪,6
囧,5
浩,53
綫,59
苑,31
聶,6
璇,2
姦,8
娟,9
薈,2
雋,1
翡,9
翠,25
搞,23
涡,42
迈,60
仑,64
稳,73
茵,53
誕,32
瑰,6
滩,23
嚮,3
瞭,20
躊,1
躇,2
冊,43
綽,13
鬍,84
璽,42
琛,31
冕,19
簽,161
炬,26
襲,122
倖,9
戍,15
樸,9
聳,3
禱,9
跌,22
骼,5
晨,57
宵,12
勃,53
蘋,20
醬,6
豬,28
氛,19
悠,30
饕,2
暖,40
綿,11
闢,11
询,24
戶,139
瑙,15
訪,100
櫚,6
默,164
帆,14
飯,47
橋,94
樑,17
眺,4
夥,10
撥,9
磅,13
絡,103
租,106
韶,7
籌,44
踏,26
針,137
衞,11
謠,17
妮,18
飄,9
獅,10
哄,1
祝,59
佂,1
彭,125
鄺,1
靄,2
泳,30
垃,29
圾,29
銶,4
琚,4
伉,8
儷,8
絜,3
櫃,47
枱,1
邨,11
伙,20
珏,1
裘,6
焯,4
肄,2
歴,2
栢,1
荃,13
悅,10
咀,14
旨,61
貓,44
餵,6
煲,1
曝,7
宓,3
玕,1
癸,17
卯,9
隠,2
龄,65
霖,23
缉,9
迭,24
敛,6
斂,9
軛,1
矩,161
陣,206
捨,15
様,3
驰,9
轭,15
咒,11
甜,27
妓,4
蔣,188
獄,51
榻,6
遁,6
婉,8
凰,32
玺,58
恒,59
冉,7
翟,16
龜,32
贔,12
屭,12
馱,6
牆,34
斑,20
鱉,2
挖,34
撐,14
掙,2
拆,82
糬,1
崁,1
漣,2
嵇,2
臉,15
庇,35
邁,52
枞,8
壑,1
铺,27
滨,44
瑶,16
羹,7
脍,2
霜,39
苞,4
櫆,2
姚,62
鼐,8
汞,8
缸,12
抹,20
枫,23
狩,27
绮,2
谐,34
盘,83
馆,274
橡,18
桦,4
榉,1
峡,56
眠,18
鹽,61
鍋,6
锡,166
梭,19
潟,18
釘,2
壘,11
殲,25
塚,20
懲,24
餓,20
疲,17
虐,53
瑪,136
傀,14
儡,14
瘋,12
窯,3
廂,11
裸,12
錶,5
泣,6
稠,5
罐,10
昨,1
鑽,9
氰,5
蝨,1
煩,16
斃,8
嬰,6
勵,51
怖,53
扯,8
窺,3
搐,3
剃,18
窖,2
皂,8
履,45
碰,32
徹,63
鮑,24
隱,50
黛,6
綁,14
刮,20
瞞,4
祧,2
謹,12
曌,1
鳯,1
翘,3
頗,45
舌,47
噝,1
擦,36
潑,10
唸,7
槓,2
穫,9
俊,69
袋,17
楣,5
牽,28
嗆,1
槽,16
狡,4
纏,3
捏,10
膠,14
粄,1
粿,1
擂,3
榴,15
笨,5
凭,15
轮,153
琪,21
斡,23
弛,10
唇,24
腭,7
钒,4
钇,6
键,57
茄,3
萣,1
鋪,11
跃,39
赖,70
崭,5
嶇,3
瘫,9
痪,8
冶,44
劲,11
奖,91
纺,37
潤,30
侈,14
挤,10
圃,7
瘠,3
缓,45
莉,37
趕,29
滚,9
纱,6
励,40
捣,11
洶,2
湧,15
尸,14
骸,24
冼,8
姊,28
胛,1
壳,14
锯,6
磨,37
凹,6
枣,17
灼,8
惊,18
讶,1
仆,14
买,62
纣,1
坝,33
査,1
枪,63
嫩,43
諜,12
蒯,1
聂,16
坠,11
朴,86
薛,90
拳,67
桿,56
膿,6
囊,29
刹,4
茹,14
闹,9
阎,21
俟,4
嘱,6
冢,3
諱,11
鉏,1
犁,29
蒍,1
彊,4
跋,161
燾,4
厍,2
湝,1
珩,6
銫,3
橢,18
铯,1
晷,2
玲,32
誓,40
焱,1
挨,8
歉,25
瞩,3
鵬,13
扁,31
锹,1
鏟,3
糾,19
緝,8
肚,10
斐,29
宛,87
吁,31
逮,98
煊,5
嗎,31
挺,16
喊,13
籲,24
傘,7
肩,18
賭,38
偷,37
辍,1
狙,4
疗,126
邓,68
抓,37
掩,41
蕾,10
枚,69
仝,1
侷,5
汐,8
鑼,4
恣,2
兇,8
焊,5
薰,4
碣,4
釵,4
芯,5
壟,15
鷹,13
堵,31
圭,35
锁,24
垄,10
詭,4
烨,2
懒,2
惰,13
窒,5
灏,2
螺,71
桨,15
鯨,109
鬚,75
豚,9
侏,7
噸,19
咙,2
嚨,5
皺,3
褶,2
嘴,18
嚥,1
嗅,4
锐,15
餚,2
銳,24
喙,1
齿,14
臂,33
吻,13
贼,10
崽,2
喂,9
肋,3
胃,33
肾,2
瘤,10
吨,85
朵,23
濠,8
靺,7
鞨,7
濒,12
鯢,1
螻,1
蟻,1
蹉,2
跎,1
昉,6
瞳,1
彗,67
湛,6
郵,37
笛,6
渲,3
儋,27
蔓,21
遜,86
酬,13
砸,14
瓶,45
惧,8
烂,9
庛,1
侖,40
侑,8
錦,59
込,7
讞,2
羈,8
彬,32
勁,31
鴻,25
竣,23
喚,25
瑋,3
飭,7
諒,7
疵,4
轍,7
斌,29
廝,1
滾,12
蛇,28
僥,3
氓,4
毆,5
摔,20
踹,2
啤,35
桶,14
懼,25
繩,57
偲,3
涷,1
瓏,2
泓,3
岱,8
潘,52
盃,120
賠,13
譬,7
矚,4
辜,13
渥,5
遐,2
柳,50
挾,7
札,50
訇,5
抨,10
譴,22
孜,22
鄙,7
豁,6
摑,1
捩,2
耨,4
敍,2
筆,70
厲,24
貶,18
褪,1
逕,12
迢,2
挫,20
締,14
篩,6
巢,22
敖,7
睦,13
褻,5
瀆,9
冒,31
惱,3
絞,11
棍,24
祅,1
紊,4
瀉,3
瞻,10
殯,3
洩,9
蕊,11
擱,7
墮,4
灌,42
漲,12
藐,6
蔑,12
僵,8
糞,4
穢,12
娣,6
晤,13
逊,70
垫,6
柠,37
檬,57
榨,18
饪,8
烘,6
焙,3
谜,3
枸,2
橼,2
扔,4
掷,4
柑,6
檸,21
籽,76
嚐,1
泡,35
澱,9
瘍,1
莓,2
腥,13
澀,1
饟,1
蓟,2
禛,2
禩,1
訢,6
峒,2
炯,10
犷,1
祕,1
厄,57
鹵,7
鹹,2
泻,9
麓,19
骑,60
雇,52
辈,8
纹,12
佣,32
镰,5
讧,4
弓,35
佚,10
疼,9
鸩,2
蹶,2
赢,32
倭,20
崛,32
辗,3
忒,3
撼,5
諺,14
喃,9
纭,2
滲,18
輾,2
瀝,1
圳,24
洽,8
懸,50
霎,1
迄,19
関,3
楽,4
砲,72
淀,21
狛,5
稲,1
荘,1
畿,11
駅,2
谦,15
僭,5
妨,11
讼,7
羁,5
赔,5
镑,14
逖,2
鴉,41
伺,9
侮,10
鋸,3
溥,13
祚,3
濤,36
綏,20
偕,8
杲,4
滸,4
鎬,4
瞿,2
耜,1
緬,42
耿,18
矣,25
僕,13
墾,16
燁,1
鰲,7
璠,7
撲,10
塽,3
琅,10
誡,7
摺,15
禵,2
礽,2
軋,1
羨,4
詡,1
惕,11
瓷,39
珅,3
蠲,2
夢,21
齋,13
泯,5
勿,15
戛,16
暹,7
蓮,31
槐,10
顒,1
琰,3
淤,8
捻,11
墜,13
旻,3
暮,4
謊,9
鏞,2
磕,4
矇,1
澍,3
癮,14
耆,10
詝,1
漪,4
璦,3
琿,3
酉,7
簾,3
沁,9
岑,16
毓,9
湉,1
攬,5
巷,16
蠱,2
譚,22
淫,13
舖,3
擄,9
韃,3
灃,1
劻,3
辮,5
喇,42
嘛,30
淸,2
弈,4
斟,11
酌,4
獵,43
谿,5
貳,2
臬,3
徇,3
滇,21
楞,4
訥,12
闐,2
貸,13
袒,3
竖,11
躺,4
甄,8
檁,1
繕,2
郁,18
臚,3
谏,2
諍,2
鑲,12
澇,1
稼,2
募,23
汛,2
堕,6
觴,10
閥,11
埒,2
沣,1
咨,23
滥,14
煜,3
鸦,9
恬,4
桢,6
沽,14
薙,1
逋,5
寥,11
閤,3
恫,2
砥,6
幟,10
縻,3
肆,16
荼,4
擒,29
畛,3
苟,8
讷,14
垦,16
俾,148
馀,1
稽,24
覈,1
缚,8
瑷,3
嬌,1
糅,1
驍,5
籠,6
琫,7
酋,25
畝,23
垚,1
龔,11
迥,11
諳,4
诒,2
鑨,1
竺,6
誣,8
饉,1
歳,3
賑,3
紡,9
琺,1
瑯,3
堤,21
浚,15
腴,2
鈴,15
蒲,33
丝,45
妆,8
缎,3
绢,1
芜,8
釀,7
鑄,38
鈕,1
钞,2
騾,9
頑,10
憨,1
璞,8
琇,1
茚,1
剎,2
儼,1
牒,8
邸,25
棟,18
倚,13
穌,24
窦,14
课,18
捧,11
怯,7
骯,1
髒,3
漂,25
墅,15
偽,26
詁,2
蔚,13
暢,10
羡,2
诂,1
瑣,10
矯,5
閔,20
矜,3
邠,3
廬,9
駢,1
莠,1
琬,3
俚,5
惲,5
叟,4
渾,15
宸,2
萼,3
楨,7
棆,1
銓,1
蓴,1
恕,10
珔,1
珙,3
綰,2
琦,16
崧,3
輅,1
棫,3
鋌,1
煦,7
頤,1
巅,2
讽,20
魄,1
剜,2
刪,41
鱗,2
墉,3
釉,2
崑,7
蹈,14
磚,8
翬,1
卉,10
摹,5
髡,1
樊,12
圻,9
慥,1
塢,3
閡,4
纬,18
詅,1
痴,5
庵,10
訣,9
韜,1
暘,1
撮,2
腑,3
豈,7
轂,2
祐,11
髀,1
扆,2
榭,1
垛,1
鈎,4
鉤,1
轩,9
辕,3
鄩,8
缯,1
褒,10
凑,2
牵,20
玮,3
冏,1
乂,2
颖,9
颙,1
邶,1
奄,15
萧,18
髦,1
亘,3
勺,3
妣,1
隹,2
沚,1
伋,1
奭,1
弒,3
擋,18
驕,15
俸,5
貽,3
蕭,39
驿,3
岔,7
潢,8
驶,38
缤,2
贩,4
篷,7
碟,26
蝇,2
炒,9
烤,21
鱿,1
鲨,4
菠,4
腰,14
蜗,2
涩,4
胳,1
芥,3
氨,54
霓,3
幂,6
棵,5
蕴,7
撞,74
陨,3
晰,9
潞,6
郓,1
柩,2
稹,1
甦,1
輟,3
撓,5
綑,4
涓,1
繃,1
欄,12
昵,3
嬴,1
誼,11
墊,2
蟬,6
惋,1
憶,26
墳,5
鋒,90
踢,15
淘,42
汰,34
籤,15
瞄,11
踝,1
軀,6
絆,1
呐,1
肱,2
搏,9
篮,83
筍,3
嘯,7
膩,21
酝,2
酿,8
亏,4
鲍,32
愤,8
忾,1
锭,4
蜈,6
蚣,6
醌,2
蚰,2
蜒,3
顎,12
螯,1
梧,17
雁,14
榕,5
庁,2
玖,4
専,1
昜,1
瀧,1
淄,68
潍,4
咽,21
蹴,1
鞠,4
绸,12
蔬,24
钓,3
溶,83
拐,5
踊,1
賀,71
稜,2
侶,18
箴,2
浜,6
鍛,7
砍,13
樁,2
糸,27
聆,5
逗,12
鍊,5
箤,1
袱,2
襠,2
謢,1
盔,22
嗜,17
跆,5
揉,5
錬,1
苅,3
滬,6
鎔,2
穗,13
苹,2
迦,60
蠟,6
谁,18
饲,8
婆,56
钜,6
讳,4
邢,8
褚,4
栾,3
陉,5
潴,1
涸,4
旷,3
梆,1
簋,1
卣,1
稚,29
遴,2
吋,5
沸,14
凍,18
暨,51
鸽,6
臀,5
帳,19
痘,2
釁,1
痺,2
傲,13
缪,15
蝉,1
嚣,7
蒼,6
裳,1
茎,4
隅,8
佗,16
骘,2
昙,2
蕃,22
龑,1
崖,67
崗,27
湃,2
赓,2
钾,4
钠,5
硝,8
萤,10
坭,1
沥,2
晴,10
萝,21
湮,4
駛,22
磡,1
莲,36
産,8
泮,4
藕,4
菱,5
茭,3
菇,2
蘿,8
轿,6
琶,4
挠,3
峙,28
诟,1
菊,15
夀,1
祆,10
葺,2
矗,4
栋,14
桅,6
櫻,3
靚,4
羮,1
盅,1
煎,7
绣,8
珐,1
镂,2
镶,4
绵,23
闸,12
荫,6
憩,4
盉,1
猴,5
砚,2
眜,1
玫,4
晔,1
淅,9
滔,5
岵,1
浑,7
酂,1
肿,13
潾,1
澧,4
榈,10
蓣,3
豌,2
椰,17
钛,6
乍,21
渎,3
麾,7
爇,1
籐,1
銃,3
鎧,3
匱,16
攜,21
鎗,2
斫,2
銕,2
胄,5
喫,1
僱,17
傭,8
盎,10
飽,28
氮,27
焓,7
熵,7
肝,28
镛,3
呦,2
怡,15
濂,3
闵,20
镒,2
谟,6
绰,6
苌,1
暠,1
盒,31
彪,10
贺,39
臻,7
齣,2
岀,2
稟,4
讖,1
浸,13
暉,10
霄,4
慾,3
孽,4
幗,1
梟,3
釗,5
鏗,5
瀾,4
珮,8
瑩,6
賬,3
吓,4
軒,21
愨,1
淚,9
锻,6
搥,1
炊,3
渣,24
傚,1
龕,5
鳞,3
钥,1
匙,3
鲎,3
隕,9
慌,10
睫,2
孚,20
謨,1
痿,1
昱,2
禅,23
覬,2
覦,2
妳,3
筛,4
苷,7
晃,5
暇,7
隘,6
沱,6
峴,1
拷,4
醞,1
岐,13
嶹,8
嶙,3
罹,15
仏,1
駒,4
鳩,2
侂,1
陲,4
啮,2
坍,10
壕,11
瀛,6
瑛,9
忱,6
佘,3
辙,3
晖,24
桩,6
淞,30
骥,3
陞,5
嵊,3
涛,34
鳌,6
芋,4
蘆,5
粟,12
鳗,1
谚,3
娴,7
闲,20
旖,1
旎,1
鹾,1
瑤,8
溺,9
馘,1
颱,5
摸,5
粥,7
甕,2
顱,7
馨,5
樺,3
昶,3
恂,1
卹,2
搪,1
恤,2
鄈,1
咐,5
葵,41
訖,2
瞰,9
楓,5
鑊,1
茜,2
杻,2
諏,3
瀬,2
帰,1
杏,12
榆,20
圹,1
癫,4
戆,1
嶄,4
靓,3
诙,1
鶯,3
丐,2
呆,5
孰,4
麽,9
靶,5
莺,1
桧,1
貂,1
颠,38
畅,9
坞,18
弑,1
钮,8
铃,6
弩,5
厩,2
賺,4
疚,1
飙,1
氩,1
氬,1
琵,2
釜,18
谴,22
轰,55
徘,3
徊,3
堑,2
衅,7
邱,37
岌,2
盼,6
鸭,21
陟,1
歼,37
诱,15
伎,6
诬,15
诽,3
谤,3
撕,8
闥,1
褥,1
輛,52
沓,3
蛛,7
阱,6
枕,9
喋,11
悚,2
闯,6
窝,10
抬,16
顽,4
匆,5
迂,9
毙,13
槳,10
緘,1
焰,11
虏,15
匮,4
谍,18
颤,11
呀,7
痢,2
殴,6
肛,5
掏,5
绞,2
赃,2
脸,8
瘦,11
饿,8
饭,26
癒,7
纠,25
镏,1
坯,2
镀,1
镌,1
尴,3
尬,4
搅,2
账,1
漩,2
淖,2
稗,1
鉻,2
浣,3
俞,13
霉,1
粱,3
馏,2
糕,7
跸,2
埤,1
滕,18
镳,3
廁,17
璜,6
菁,8
氖,6
岖,1
赚,3
泵,9
帽,24
毯,10
槿,48
鉉,5
铉,3
锄,4
瓒,1
芙,19
阇,10
羯,2
毘,4
綴,6
訃,1
邹,11
芮,15
钧,7
飚,1
璧,6
诤,1
郝,16
磊,5
恺,5
埗,1
詆,2
愧,4
驷,2
搁,11
咖,6
啡,15
廰,2
阡,2
櫸,5
綦,1
傢,4
祇,9
岬,6
燧,4
耍,3
鏢,5
颶,3
鵝,26
滌,2
鐐,2
銬,1
撃,7
謎,6
呎,16
舗,2
雫,1
渦,7
撇,4
暱,2
迺,9
婴,31
赊,2
赌,3
绯,1
恋,38
缕,2
澜,9
婕,3
汀,20
炉,21
篪,4
絮,3
閏,17
燮,11
笼,4
霆,9
贛,3
诵,7
菅,2
垠,2
坂,64
敝,2
鷺,3
戦,5
満,3
鉄,6
続,2
図,1
権,5
経,2
営,1
総,3
済,1
発,2
観,2
覧,2
硅,8
蚌,1
锋,22
嵩,3
鹤,25
潇,1
嶷,2
鑫,4
锌,6
跤,4
饼,4
鴿,4
慷,5
乒,4
乓,5
橇,4
杓,4
尷,2
腆,1
犒,1
覲,1
缙,3
竇,2
剐,1
钉,11
烙,5
俎,3
侔,1
衮,10
诈,1
飼,8
鎚,1
鈀,1
偃,3
匕,2
凸,9
凳,3
兌,6
谭,19
闿,1
邵,26
铨,6
孑,2
竑,3
踌,1
榷,5
怫,1
亟,4
谣,8
饬,2
梳,1
钰,6
劢,1
荪,4
殃,3
岂,3
吗,6
毋,6
攘,7
诫,2
棼,1
摘,15
轧,1
牍,1
谬,2
倏,3
晦,5
痞,3
涣,1
骅,2
斋,7
糜,3
幡,4
巌,1
鳕,1
鲽,1
鲭,1
鲑,1
仉,2
珂,5
俨,1
莹,3
蕙,2
咏,3
韧,2
佟,4
芸,2
堃,3
岚,7
亢,3
蓉,19
邰,1
旭,19
媛,4
珑,1
骢,1
卞,2
洱,6
骆,8
灿,6
畋,1
骐,1
燊,1
洙,20
艳,7
庠,2
绂,1
悦,14
臧,12
刁,4
馥,2
镯,1
喆,3
鎏,1
萃,18
渝,7
铿,1
彤,6
埙,1
隽,1
邃,2
镠,2
淼,2
炘,1
骏,9
贲,1
缨,1
邬,2
劭,3
漱,6
巍,39
姣,1
玠,7
翊,2
铠,2
蘧,3
棻,1
绶,1
琯,1
笙,1
巽,5
筠,1
浔,1
倓,1
盱,15
逄,1
湜,1
奚,15
佃,2
雯,1
娆,1
遒,2
琢,2
邝,1
焜,1
萱,1
珺,1
镕,4
蓓,1
拙,4
眭,1
浒,3
鉥,1
铧,3
侣,5
炽,1
纮,9
蚁,2
涤,1
蛰,1
饴,1
俐,1
鸾,5
骊,1
秧,1
钊,1
僖,2
晞,1
逵,1
铣,2
钗,1
猷,2
铮,1
郗,12
瑾,2
苓,2
帼,1
遆,1
镖,1
娃,8
娅,8
韫,1
霁,1
琏,1
绳,12
曦,1
硼,5
刨,1
灸,5
扼,5
喧,2
皋,13
粲,1
鎊,11
拦,9
渗,10
棗,14
饯,1
醣,6
蒐,5
氹,1
醚,5
酵,39
餾,6
鹼,21
鈉,8
醛,16
錳,4
鉀,6
卤,9
烃,1
砜,1
溴,5
泼,3
碘,5
酊,1
嘔,3
噁,2
暈,3
薇,7
舵,35
厨,13
葳,1
羕,21
髠,1
鉗,2
囂,1
悖,12
嘢,1
冇,1
穹,1
笈,6
咗,2
坌,8
菓,2
陇,12
沭,1
兜,6
蝦,16
頸,7
槛,5
尘,10
黯,10
佼,2
淇,5
鄱,5
舎,1
譙,2
脩,5
垅,1
揍,1
晒,6
焘,7
崮,7
朐,4
碾,2
韬,1
啊,9
倘,7
咳,6
嗽,3
襟,3
肘,3
熬,1
栈,3
凶,11
浇,5
祉,3
懈,8
袤,5
痈,1
孀,2
攔,7
酚,23
苯,23
澗,4
箔,9
濘,2
诨,1
閃,14
躯,1
赘,3
訝,4
説,28
眙,12
鄣,4
淩,1
邳,4
兗,8
邗,2
玒,1
撾,8
佧,4
佤,1
惺,3
谛,2
绀,1
泖,1
苔,11
謚,1
閼,2
谅,7
鍇,1
牴,2
溜,6
羔,4
阗,3
俀,1
瀚,3
洮,17
娄,16
硤,1
诛,4
骁,2
邈,4
斛,4
穀,11
冪,8
炙,5
羚,18
緞,1
惮,1
妖,12
倌,1
祛,1
绊,1
媳,11
澡,4
愉,6
巪,2
疯,4
躁,10
腻,2
玟,4
嗓,1
猝,1
姨,4
佯,5
吵,5
漿,16
廚,5
拭,4
坷,1
埌,1
溷,1
丫,5
葦,3
厕,12
颍,1
蔷,2
楔,2
柄,4
瓣,16
腌,12
扦,2
砧,1
疽,2
蚜,1
摽,4
炕,1
闷,1
肠,23
脾,3
蛔,7
豉,1
逹,1
脘,1
迨,2
锤,2
拈,2
梶,5
蠍,1
鲥,6
樱,1
箬,1
瓮,3
鰣,7
伕,2
傍,9
莪,3
雳,2
檳,4
唔,3
睞,1
叱,3
吒,3
奬,3
軼,3
蒨,6
袛,2
嬅,5
囍,5
峯,7
菀,1
呻,1
姍,1
陌,1
霏,1
鍔,1
戡,3
幇,1
倆,3
晩,1
婺,10
甬,5
磐,3
鰛,15
涇,1
崆,1
厢,42
呕,2
诊,18
馑,1
檻,8
舯,5
舷,36
脇,8
珪,111
谪,5
惇,5
汴,9
憎,3
赀,2
涟,1
鋁,7
蔺,16
泸,8
嘶,1
嚼,2
洈,1
阋,18
鬩,20
妊,6
阯,2
耸,1
碗,4
鬃,2
猕,1
鸚,2
壩,2
妈,7
汙,2
錒,9
鈧,2
釔,8
鑭,19
鑰,2
瀑,10
跻,3
肴,3
酥,8
拌,3
鎌,3
鋗,1
邾,1
郴,2
莘,3
亳,2
唤,9
疹,6
啸,1
馴,3
嶂,2
岷,2
萩,1
濑,1
駉,2
堀,9
烫,1
兑,1
咬,6
齦,6
颈,19
緻,8
縛,4
滦,3
窿,2
莜,2
襯,1
褔,1
猩,9
酩,1
弭,3
哩,5
韞,1
渙,1
鑠,4
鹜,2
蘸,2
灑,3
飘,3
矫,2
牘,1
曠,9
懇,3
爹,4
舔,1
屑,8
僮,3
懊,1
傻,1
慚,2
竿,17
腕,1
璀,1
璨,1
